gene	target_id	sample_group	rows	unique_samples	good_samples	median_percent_covered	median_mean_depth	max_mean_depth
nifE	nifE|NC_009937|NC_009937_-_Symbiosis_Island_4|ref42	Ro	366	366	47	49.2573	10.9388	2240.3678
nifE	nifE|NC_011894|NC_011894_-_Symbiosis_Island|ref43	BLAN	12	12	0	10.3222	0.5345	1.7659
nifE	nifE|NC_011894|NC_011894_-_Symbiosis_Island|ref43	No	366	366	0	8.1197	0.9470	451.4615
nifE	nifE|NC_011894|NC_011894_-_Symbiosis_Island|ref43	Rh	372	372	0	10.2564	2.0109	528.8330
nifE	nifE|NC_011894|NC_011894_-_Symbiosis_Island|ref43	Ro	366	366	0	4.3393	0.2732	108.2919
nifE	nifE|NC_012848|NC_012848_-_Symbiosis_Island_2|ref44	BLAN	12	12	10	100.0000	43.7467	7910.0236
nifE	nifE|NC_012848|NC_012848_-_Symbiosis_Island_2|ref44	No	366	366	15	1.3167	0.0330	7781.3860
nifE	nifE|NC_012848|NC_012848_-_Symbiosis_Island_2|ref44	Rh	372	372	13	2.4255	0.1005	5210.9016
nifE	nifE|NC_012848|NC_012848_-_Symbiosis_Island_2|ref44	Ro	366	366	11	1.3167	0.0263	491.0388
nifE	nifE|NC_014120|NC_014120_-_Symbiosis_Island|ref45	BLAN	12	12	0	0.0000	0.0000	0.2624
nifE	nifE|NC_014120|NC_014120_-_Symbiosis_Island|ref45	No	366	366	0	1.2718	0.0282	2803.4859
nifE	nifE|NC_014120|NC_014120_-_Symbiosis_Island|ref45	Rh	372	372	0	1.2718	0.0254	462.7557
nifE	nifE|NC_014120|NC_014120_-_Symbiosis_Island|ref45	Ro	366	366	0	1.2718	0.0265	1886.7972
nifE	nifE|NC_015656|NC_015656_-_Symbiosis_Island|ref46	BLAN	12	12	0	6.2540	1.1128	150.4790
nifE	nifE|NC_015656|NC_015656_-_Symbiosis_Island|ref46	No	366	366	7	6.5442	1.0112	7150.8124
nifE	nifE|NC_015656|NC_015656_-_Symbiosis_Island|ref46	Rh	372	372	1	6.7376	1.0096	839.0426
nifE	nifE|NC_015656|NC_015656_-_Symbiosis_Island|ref46	Ro	366	366	3	4.9645	0.3024	7103.9529
nifE	nifE|NC_017249|NC_017249_-_Symbiosis_Island|ref47	BLAN	12	12	5	99.2700	7.6122	7385.8595
nifE	nifE|NC_017249|NC_017249_-_Symbiosis_Island|ref47	No	366	366	193	85.8272	64.5746	7934.8023
nifE	nifE|NC_017249|NC_017249_-_Symbiosis_Island|ref47	Rh	372	372	116	77.5851	13.4328	7291.0219
nifE	nifE|NC_017249|NC_017249_-_Symbiosis_Island|ref47	Ro	366	366	114	78.9842	7.8124	4954.2135
nifE	nifE|NC_019848|NC_019848_-_Symbiosis_Island_2|ref48	BLAN	12	12	10	99.6506	17.2009	846.6052
nifE	nifE|NC_019848|NC_019848_-_Symbiosis_Island_2|ref48	No	366	366	57	14.1509	3.3298	7937.1279
nifE	nifE|NC_019848|NC_019848_-_Symbiosis_Island_2|ref48	Rh	372	372	39	5.9399	0.4378	7695.9203
nifE	nifE|NC_019848|NC_019848_-_Symbiosis_Island_2|ref48	Ro	366	366	42	8.1062	0.3931	7899.4368
nifE	nifE|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref49	BLAN	12	12	0	11.6700	0.9148	7.6211
nifE	nifE|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref49	No	366	366	82	60.2280	6.6707	7564.1455
nifE	nifE|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref49	Rh	372	372	52	44.5339	4.3468	7271.9054
nifE	nifE|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref49	Ro	366	366	47	48.4574	2.8544	7125.3789
nifE	nifE|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref50	BLAN	12	12	0	1.6073	0.0880	1.0538
nifE	nifE|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref50	No	366	366	0	1.3626	0.0797	127.6261
nifE	nifE|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref50	Rh	372	372	0	1.3277	0.0266	38.0608
nifE	nifE|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref50	Ro	366	366	0	0.0000	0.0000	41.6324
nifH	nifH|CU633751|CU633751_-_Symbiosis_Island|ref51	BLAN	12	12	0	2.4376	0.0635	2.8696
nifH	nifH|CU633751|CU633751_-_Symbiosis_Island|ref51	No	366	366	20	3.9683	0.2704	7939.3095
nifH	nifH|CU633751|CU633751_-_Symbiosis_Island|ref51	Rh	372	372	14	3.9116	0.1123	1425.3458
nifH	nifH|CU633751|CU633751_-_Symbiosis_Island|ref51	Ro	366	366	14	2.2676	0.0454	6856.5578
nifH	nifH|NC_002678|NC_002678_-_Symbiosis_Island_3|ref52	BLAN	12	12	0	32.7181	8.1124	842.6521
