gene	in_summary_all_genes	in_genes_sheet_reconciled	keep_yes	in_taxon_fastas_by_gene	taxon_file
noeI	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/noeI.fa.aln
noeJ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/noeJ.fa.aln
nolB	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nolB.fa.aln
nolF	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nolF.fa.aln
nolG	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nolG.fa.aln
nolL	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nolL.fa.aln
nolU	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nolU.fa.aln
nolX	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nolX.fa.aln
nopE	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nopE.fa.aln
nopL	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nopL.fa.aln
nopM	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nopM.fa.aln
nopP	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nopP.fa.aln
nopT	True	True	True	False	
rhcN	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/rhcN.fa.aln
rhcQ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/rhcQ.fa.aln
rhcR	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/rhcR.fa.aln
rhcS	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/rhcS.fa.aln
rhcT	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/rhcT.fa.aln
rpoN	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/rpoN.fa.aln
