gene	tree_set	tree_set_label	label_type	label_type_report	phylocom_status	p_mpd_cluster	p_mntd_cluster	ntaxa_matches_expected	plot	ntaxa	mpd	mpd_rnd	mpd_sd	nri	mpd_ranklow	mpd_rankhi	mntd	mntd_rnd	mntd_sd	nti	mntd_ranklo	mntd_rankhi	runs	label_value	expected_ntaxa	fdr_mpd	fdr_mntd	interpretation	mpd_random	mntd_random
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.691	0.837	TRUE	site_nogp	17	0.0156	0.0148	0.0026	-0.3225	309	690	0.0045	0.0033	0.0013	-0.9954	163	836	999	NOGP	17	0.9008592592592592	0.8768571428571429	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.889	0.013	TRUE	site_oaes	37	0.0162	0.0143	0.0014	-1.3476	111	888	0.0011	0.0022	6e-4	1.719	987	12	999	OAES	37	1	0.03575	significant clustering by MNTD	NA	NA
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.185	0.061	TRUE	site_scbi	6	0.0105	0.0143	0.0045	0.8468	815	184	0.0017	0.0056	0.0029	1.314	939	60	999	SCBI	6	0.37	0.12934939759036146	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.215	0.682	TRUE	site_wood	25	0.0128	0.0144	0.0019	0.8114	785	214	0.0028	0.0026	9e-4	-0.1661	318	681	999	WOOD	25	0.4177582417582418	0.7868235294117647	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	state	State	ok	0.109	0.001	TRUE	state_al	6	0.0094	0.0144	0.005	1.0159	891	108	1e-4	0.0058	0.003	1.8769	999	0	999	AL	6	0.2564705882352941	0.0048	significant clustering by MNTD	NA	NA
noeB	iupac	Mixed-IUPAC	state	State	ok	0.014	0.043	TRUE	state_co	14	0.0093	0.0142	0.0029	1.6733	986	13	0.0015	0.0034	0.0014	1.3067	957	42	999	CO	14	0.04540540540540541	0.09735849056603772	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	state	State	ok	0.655	0.858	TRUE	state_nd	59	0.0149	0.0144	0.001	-0.4318	345	654	0.0024	0.0019	4e-4	-1.1792	142	857	999	ND	59	0.8912359550561798	0.8799999999999999	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	state	State	ok	0.916	0.015	TRUE	state_ok	37	0.0162	0.0139	0.0015	-1.5622	84	915	0.0011	0.0022	7e-4	1.6377	985	14	999	OK	37	1	0.04285714285714286	significant clustering by MNTD	NA	NA
noeB	iupac	Mixed-IUPAC	state	State	ok	0.001	0.038	TRUE	state_va	14	0.0082	0.0143	0.0027	2.2322	999	0	0.0014	0.0034	0.0014	1.4038	962	37	999	VA	14	0.0044444444444444444	0.08941176470588236	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.885	0.063	TRUE	host_genus_astragalus	23	0.0168	0.0141	0.0021	-1.2895	115	884	0.0014	0.0026	0.001	1.2301	937	62	999	Astragalus	23	0.988313953488372	0.12801063829787235	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.859	0.789	TRUE	host_genus_dalea	9	0.0174	0.0143	0.0036	-0.8387	141	858	0.0055	0.0043	0.0021	-0.5751	211	788	999	Dalea	9	0.9708224852071006	0.851406779661017	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.015	0.25	TRUE	host_genus_desmodium	7	0.0069	0.0145	0.0043	1.7677	985	14	0.0033	0.0051	0.0026	0.6944	750	249	999	Desmodium	7	0.047749999999999994	0.39139344262295084	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.476	0.25	TRUE	host_genus_elaeagnus	5	0.0135	0.0145	0.0054	0.1864	524	475	0.0041	0.0065	0.0034	0.7059	750	249	999	Elaeagnus	5	0.6447943262411348	0.39139344262295084	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.107	0.006	TRUE	host_genus_lespedeza	7	0.0102	0.0146	0.0044	1.018	893	106	6e-4	0.0051	0.0026	1.7092	994	5	999	Lespedeza	7	0.20854081632653063	0.020464285714285713	significant clustering by MNTD	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.888	0.839	TRUE	host_genus_medicago	46	0.0159	0.0142	0.0012	-1.3821	112	887	0.0026	0.002	5e-4	-1.2247	161	838	999	Medicago	46	0.988313953488372	0.880489010989011	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.003	0.01	TRUE	host_genus_melilotus	29	0.0096	0.0138	0.0017	2.5154	997	2	0.001	0.0023	8e-4	1.5993	990	9	999	Melilotus	29	0.014692307692307694	0.030317460317460316	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	host_genus	Host genus	ok	0.018	0.183	TRUE	host_genus_oxytropis	5	0.0059	0.0141	0.005	1.6315	982	17	0.0035	0.0064	0.0033	0.8447	817	182	999	Oxytropis	5	0.055451612903225804	0.3148918918918919	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_tribe	Host tribe	ok	0.244	0.158	TRUE	host_tribe_actinorhizal	9	0.0113	0.0138	0.0035	0.7263	756	243	0.0023	0.004	0.0019	0.9069	842	157	999	actinorhizal	9	0.396955223880597	0.28885	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_tribe	Host tribe	ok	0.882	0.847	TRUE	host_tribe_amorpheae	10	0.017	0.0137	0.0034	-0.9816	118	881	0.0052	0.0038	0.0018	-0.7554	153	846	999	Amorpheae	10	0.9518613861386139	0.9058640776699028	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_tribe	Host tribe	ok	0.008	0.004	TRUE	host_tribe_desmodieae	15	0.0089	0.0139	0.0026	1.9093	992	7	0.001	0.0031	0.0013	1.6152	996	3	999	Desmodieae	15	0.026424242424242426	0.014064516129032258	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	host_tribe	Host tribe	ok	0.828	0.106	TRUE	host_tribe_galegeae	28	0.0159	0.0142	0.0018	-0.9592	172	827	0.0015	0.0024	8e-4	1.0571	894	105	999	Galegeae	28	0.9116363636363636	0.19920689655172413	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	host_tribe	Host tribe	ok	0.542	0.745	TRUE	host_tribe_trifolieae	78	0.0138	0.0137	8e-4	-0.1398	458	541	0.0018	0.0016	3e-4	-0.851	255	744	999	Trifolieae	78	0.7204634146341464	0.8731720430107527	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	native_status	Native status	ok	0.282	0.656	TRUE	native_status_no	91	0.0134	0.0138	7e-4	0.5901	718	281	0.0017	0.0015	3e-4	-0.6566	344	655	999	no	91	0.6485999999999998	0.7953157894736842	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	native_status	Native status	ok	0.732	0.191	TRUE	native_status_yes	58	0.0142	0.0135	0.0011	-0.6706	268	731	0.0013	0.0017	4e-4	0.9211	809	190	999	yes	58	0.8861052631578947	0.39936363636363637	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	ok	0.677	1	TRUE	closest_blast_genus_sinorhizobium	149	0.0137	0.0137	0	-0.4498	323	676	0.0013	0.0013	0	NA	999	999	999	Sinorhizobium	149	0.98165	1	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	sample_type	Sample type	ok	0.627	0.328	TRUE	sample_type_nodule	48	0.043	0.041	0.0059	-0.335	373	626	0.0026	0.003	0.001	0.4006	672	327	999	nodule	48	0.9405	0.7028571428571428	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	sample_type	Sample type	ok	0.126	0.956	TRUE	sample_type_rhizosphere	42	0.0355	0.0431	0.0065	1.1638	874	125	0.0053	0.0035	0.0011	-1.6482	44	955	999	rhizosphere	42	0.34363636363636363	1	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	sample_type	Sample type	ok	0.754	0.512	TRUE	sample_type_root	36	0.0465	0.0411	0.0074	-0.7168	246	753	0.0039	0.0037	0.0015	-0.1321	488	511	999	root	36	0.9834782608695652	0.8205	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.002	0.218	TRUE	site_blan	9	0.0068	0.0396	0.0157	2.0964	998	1	0.0026	0.0087	0.0065	0.9254	782	217	999	BLAN	9	0.01	0.40485714285714286	significant clustering by MPD	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.319	0.362	TRUE	site_clbj	10	0.0317	0.0404	0.0149	0.5847	681	318	0.0044	0.0083	0.0057	0.681	638	361	999	CLBJ	10	0.49369047619047624	0.5468965517241379	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.241	0.007	TRUE	site_deju	8	0.0269	0.0419	0.018	0.8308	759	240	2e-4	0.0101	0.0076	1.3026	993	6	999	DEJU	8	0.3965822784810127	0.03033333333333333	significant clustering by MNTD	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.81	0.511	TRUE	site_dela	11	0.0556	0.0421	0.0144	-0.9305	190	809	0.0076	0.008	0.0052	0.0766	489	510	999	DELA	11	0.9906896551724137	0.6897959183673469	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.872	0.921	TRUE	site_dsny	8	0.0659	0.0436	0.0171	-1.3005	128	871	0.0232	0.0105	0.0075	-1.6788	79	920	999	DSNY	8	0.9906896551724137	0.935390625	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.029	0.261	TRUE	site_jerc	15	0.0253	0.0456	0.012	1.6976	971	28	0.0037	0.0069	0.0037	0.8665	739	260	999	JERC	15	0.08021276595744682	0.45851351351351355	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.002	0.023	TRUE	site_ornl	11	0.0145	0.043	0.0146	1.9579	998	1	0.0015	0.0084	0.0054	1.2844	977	22	999	ORNL	11	0.01	0.07666666666666667	significant clustering by MPD	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.002	0.009	TRUE	site_osbs	11	0.0134	0.0415	0.014	1.9957	998	1	8e-4	0.008	0.0054	1.3314	991	8	999	OSBS	11	0.01	0.0365625	significant clustering by MPD	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.008	0.297	TRUE	site_scbi	6	0.01	0.043	0.0204	1.6154	992	7	0.0049	0.0135	0.0105	0.8227	703	296	999	SCBI	6	0.02810810810810811	0.48873417721518986	significant clustering by MPD	NA	NA
nodX	strict	Strict single-dominant	site	Site	ok	0.989	0.126	TRUE	site_tall	8	0.0873	0.0432	0.0173	-2.5464	11	988	0.0025	0.0106	0.0076	1.0678	874	125	999	TALL	8	1	0.27031746031746035	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	state	State	ok	0.996	0.289	TRUE	state_al	19	0.0715	0.0416	0.0107	-2.7852	4	995	0.0031	0.0059	0.0033	0.8729	711	288	999	AL	19	1	0.5017241379310344	not significant / weak evidence	NA	NA
nodX	strict	Strict single-dominant	state	State	ok	0.053	0.001	TRUE	state_alaska	13	0.0241	0.042	0.0142	1.2621	947	52	1e-4	0.0076	0.0049	1.5123	999	0	999	Alaska	13	0.14722222222222223	0.008333333333333335	significant clustering by MNTD	NA	NA
nodX	strict	Strict single-dominant	state	State	ok	0.001	0.003	TRUE	state_fl	11	0.0134	0.0437	0.0157	1.9185	999	0	8e-4	0.0087	0.0059	1.3458	997	2	999	FL	11	0.00625	0.017647058823529415	significant clustering by MPD	NA	NA
nodX	strict	Strict single-dominant	state	State	ok	0.809	0.867	TRUE	state_florida	8	0.0659	0.0454	0.0198	-1.0355	191	808	0.0232	0.0114	0.0085	-1.3869	133	866	999	Florida	8	0.9941860465116279	0.9344086021505376	not significant / weak evidence	NA	NA
