gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	site	OAES	112	0.2146	0.2971	6.632	0.001	0.0046315789473684215	0.0322	0.0672	7.8104	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	SRER	54	0.0595	0.3025	13.2832	0.001	0.0046315789473684215	0.0089	0.0845	9.0918	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	TOOL	66	0.2269	0.3027	4.7159	0.001	0.0046315789473684215	0.0449	0.0793	5.157	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	WOOD	33	0.2158	0.3024	3.6709	0.001	0.0046315789473684215	0.051	0.0982	3.9793	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	KONA	9	0.1592	0.2916	2.8466	0.004	0.01497872340425532	0.0602	0.1461	2.7668	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	OSBS	112	0.262	0.3012	3.1308	0.004	0.01497872340425532	0.0615	0.0678	1.387	0.08	0.16183908045977013	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	KONZ	38	0.2553	0.2947	1.7163	0.041	0.10770149253731344	0.0579	0.0929	3.3023	0.001	0.004292682926829269	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	UKFS	6	0.2178	0.3025	1.4444	0.069	0.17104225352112676	0.1437	0.1746	0.6968	0.237	0.3773693693693694	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	YELL	14	0.2724	0.3005	0.7823	0.209	0.4133033707865168	0.1174	0.1281	0.4593	0.319	0.46690909090909094	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	LAJA	52	0.2843	0.2946	0.5312	0.296	0.5009230769230769	0.0529	0.0837	3.6392	0.002	0.00748936170212766	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	NIWO	5	0.2612	0.2951	0.4859	0.316	0.5197757009345795	0.1639	0.1836	0.3831	0.363	0.49525581395348833	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	RMNP	11	0.281	0.3018	0.5058	0.316	0.5197757009345795	0.0896	0.1413	1.8506	0.034	0.08086486486486487	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	TALL	87	0.2969	0.3029	0.427	0.324	0.5264000000000001	0.0527	0.0732	3.6352	0.001	0.004292682926829269	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	TEAK	5	0.2772	0.3017	0.3569	0.365	0.568495575221239	0.1698	0.1876	0.3441	0.391	0.5293538461538462	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	DELA	61	0.3014	0.303	0.0996	0.472	0.710017094017094	0.0502	0.0795	3.9496000000000002	0.001	0.004292682926829269	significant clustering by MNTD
