gene	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	mean_between_group_distance	within_between_ratio	interpretation
nifH	Strict single-dominant	site	SRER	26	0.04018498633107692	0.19482503034764553	0.20626192773778032	strong close grouping
nifH	Strict single-dominant	state	Arizona	26	0.04018498633107692	0.19482503034764553	0.20626192773778032	strong close grouping
nodX	Strict single-dominant	state	VA	15	0.008211200973333334	0.03955585026538011	0.20758499484259357	strong close grouping
nifD	Strict single-dominant	site	SRER	23	0.05009856983083004	0.22890305716090975	0.21886369912313025	strong close grouping
nifD	Strict single-dominant	state	Arizona	23	0.05009856983083004	0.22890305716090975	0.21886369912313025	strong close grouping
nifK	Strict single-dominant	site	SRER	22	0.057226175532034636	0.25867013120813587	0.22123225153501883	strong close grouping
nifK	Strict single-dominant	state	Arizona	22	0.057226175532034636	0.25867013120813587	0.22123225153501883	strong close grouping
nodL	Strict single-dominant	site	WOOD	24	0.010358042258695651	0.04650941107239591	0.2227085232830075	strong close grouping
nodL	Mixed-IUPAC	site	WOOD	24	0.008885548141666668	0.039375911163309026	0.22565949280041891	strong close grouping
nodL	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	211	0.038768629040243655	0.16500998370922923	0.23494717209692853	strong close grouping
nifK	Strict single-dominant	site	WOOD	15	0.08285342773333333	0.33939856311483324	0.24411838097646993	strong close grouping
nodX	Mixed-IUPAC	site	SCBI	6	0.008088069433333333	0.0317191430269029	0.2549901624540536	strong close grouping
nifK	Strict single-dominant	state	ND	37	0.08966677593333336	0.3499497068449696	0.2562276069374061	strong close grouping
nifK	Mixed-IUPAC	site	NOGP	18	0.08403199290784313	0.3227871622129485	0.2603325123952907	strong close grouping
nodX	Strict single-dominant	site	SCBI	6	0.00997240642	0.03758806571720867	0.2653077839925773	strong close grouping
nodL	Strict single-dominant	site	NOGP	17	0.012661206835294118	0.045689560196659776	0.2771137822469068	strong close grouping
nodL	Mixed-IUPAC	site	NOGP	17	0.011056446041176473	0.039208163867909436	0.28199346642258355	strong close grouping
nifD	Strict single-dominant	closest_blast_genus	Bradyrhizobium	6	0.06024921482666666	0.20729002232524366	0.29065178415647047	strong close grouping
nodL	Strict single-dominant	site	TOOL	5	0.01366237872	0.04637519842473929	0.2946052886905099	strong close grouping
nifD	Strict single-dominant	closest_blast_genus	Azorhizobium	16	0.0678799248575	0.22316070227492474	0.30417508174837493	strong close grouping
nodL	Mixed-IUPAC	site	TOOL	5	0.012078947460000001	0.03953289015351112	0.3055417252089576	strong close grouping
nifJ	Mixed-IUPAC	site	LAJA	9	0.012906067677777779	0.041698286837728554	0.30951074148447716	strong close grouping
nodL	Strict single-dominant	state	Alaska	9	0.014803777883333334	0.04722960736570046	0.3134427472307186	strong close grouping
nodL	Mixed-IUPAC	state	AL	12	0.012303787063636367	0.03914440060703366	0.3143179323947947	strong close grouping
nolG	Strict single-dominant	site	BLAN	10	0.0023323223866666665	0.007373149720523561	0.31632646495357625	strong close grouping
nodL	Mixed-IUPAC	site	BLAN	9	0.013658622511111112	0.0427314161008044	0.3196388923524113	strong close grouping
nifH	Strict single-dominant	site	CPER	6	0.08817348378666667	0.26851821546754145	0.3283705860816176	strong close grouping
nifK	Mixed-IUPAC	site	CPER	15	0.10502106408190473	0.31929101529392495	0.3289195719623587	strong close grouping
nifJ	Mixed-IUPAC	site	DEJU	70	0.016356332980910968	0.04962101689534451	0.3296251065432223	strong close grouping
nodL	Mixed-IUPAC	state	Alaska	9	0.013589381705555556	0.04082282296576171	0.33288686862623473	strong close grouping
nifJ	Strict single-dominant	state	P.R	6	0.012143558233333334	0.03638461379171428	0.33375531489353716	strong close grouping
nifJ	Strict single-dominant	site	DEJU	51	0.015078298771294114	0.045163400710859745	0.33386101431614446	strong close grouping
nifK	Mixed-IUPAC	site	SRER	54	0.09473212231369671	0.28125288635453116	0.33682186711599776	strong close grouping
nifK	Mixed-IUPAC	state	Arizona	54	0.09473212231369671	0.28125288635453116	0.33682186711599776	strong close grouping
