tree_set	tree_set_label	gene	sample_id	tip_label	closest_genus_report	nearest_neighbor_tip	nearest_neighbor_sample_id	nearest_neighbor_closest_genus	nearest_neighbor_distance	nearest_neighbor_same_blast_genus	nearest_neighbor_tie_count	sample_type	site	state	host_genus	host_tribe	native_status
strict	Strict single-dominant	nifH	LENO-13-2-No	LENO-13-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	LENO-1-1-No|nifH|consensus50|strict_single_dominant	LENO-1-1-No	Mesorhizobium	0.0030098915	TRUE	1	nodule	LENO	AL	Amphicarpaea	Phaseoleae	yes
strict	Strict single-dominant	nifH	KONZ-2-1-No	KONZ-2-1-No|nifH|consensus50|strict_single_dominant	Rhizobium	LENO-1-1-No|nifH|consensus50|strict_single_dominant	LENO-1-1-No	Mesorhizobium	0.0330092889	FALSE	1	nodule	KONZ	KS	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	SCBI-4-1-Rh	SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant	Mesorhizobium	KONZ-2-1-No|nifH|consensus50|strict_single_dominant	KONZ-2-1-No	Rhizobium	0.037616819999999995	FALSE	1	rhizosphere	SCBI	VA	Amphicarpaea	Phaseoleae	yes
strict	Strict single-dominant	nifH	N39-2-D-No	N39-2-D-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	LENO-1-1-No|nifH|consensus50|strict_single_dominant	LENO-1-1-No	Mesorhizobium	0.0341335923	FALSE	1	NA	NA	NA	NA	NA	NA
strict	Strict single-dominant	nifH	GUAN-4-No	GUAN-4-No|nifH|consensus50|strict_single_dominant	Microvirga	GUAN-8-No|nifH|consensus50|strict_single_dominant	GUAN-8-No	Microvirga	0.0265734391	TRUE	1	nodule	GUAN	P.R	Centrosema	Phaseoleae	yes
strict	Strict single-dominant	nifH	GUAN-8-No	GUAN-8-No|nifH|consensus50|strict_single_dominant	Microvirga	GUAN-4-No|nifH|consensus50|strict_single_dominant	GUAN-4-No	Microvirga	0.0265734391	TRUE	1	nodule	GUAN	P.R	Centrosema	Phaseoleae	yes
strict	Strict single-dominant	nifH	KONZ-9-2-No	KONZ-9-2-No|nifH|consensus50|strict_single_dominant	Rhizobium	GUAN-8-No|nifH|consensus50|strict_single_dominant	GUAN-8-No	Microvirga	0.0809929863	FALSE	1	nodule	KONZ	KS	Lespedeza	Desmodieae	yes
strict	Strict single-dominant	nifH	DELA-6-3-No	DELA-6-3-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant	GUAN-7-1-Ro	Mesorhizobium	0.1640598359	FALSE	1	nodule	DELA	AL	Galactia	Diocleae	yes
strict	Strict single-dominant	nifH	LAJA-3-1-No	LAJA-3-1-No|nifH|consensus50|strict_single_dominant	Microvirga	GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant	GUAN-7-1-Ro	Mesorhizobium	0.1142648929	FALSE	1	nodule	LAJA	P.R	Albizia	Mimosoideae	no
strict	Strict single-dominant	nifH	DSNY-44-1-No	DSNY-44-1-No|nifH|consensus50|strict_single_dominant	Burkholderia	DSNY-57-No|nifH|consensus50|strict_single_dominant	DSNY-57-No	Bradyrhizobium	0.0584074002	FALSE	1	nodule	DSNY	Florida	Sesbania	Sesbanieae	yes
strict	Strict single-dominant	nifH	DSNY-57-No	DSNY-57-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	LENO-2-1-Ro|nifH|consensus50|strict_single_dominant	LENO-2-1-Ro	Bradyrhizobium	0.0560979213	TRUE	1	nodule	DSNY	Florida	Sesbania	Sesbanieae	yes
strict	Strict single-dominant	nifH	DSNY-90-No	DSNY-90-No|nifH|consensus50|strict_single_dominant	Microvirga	LENO-2-1-Ro|nifH|consensus50|strict_single_dominant	LENO-2-1-Ro	Bradyrhizobium	0.0683002016	FALSE	1	nodule	DSNY	Florida	Sesbania	Sesbanieae	yes
